Subject,z_latents_batch,ASD,HSD,HSD95,DSC,Err_Vol_CM3,Err_Vol_Percent,fold,source
['lj139_rf'],"Parameter containing: tensor([[-0.5461, -1.1115,  0.0185,  1.0452,  1.9244, -1.0857, -0.2559, -1.2919, -0.5301,  0.4269, -0.3610, -0.3148,  1.8226, -0.1058, -0.9337, -0.5024, -0.6293, -1.0224, -1.7018,  2.0406, -0.5361,  0.7074, -0.4877,  0.2036, 0.4106,  1.0662,  1.3222,  0.9103, -1.3282, -0.6583,  0.0581, -1.3014, 0.1437,  0.4089, -1.7767, -2.4938, -1.1569, -0.1300,  0.7948, -0.8439, 0.4573, -0.1671, -0.8148,  0.4055,  1.5248,  0.1348, -0.4209,  1.2199, 0.8473, -0.7495,  0.1007, -0.7100, -0.5644,  0.0684, -1.3728,  0.2044, -0.6018,  0.7828, -0.3341,  0.8099, -1.0803,  1.1945,  0.0044, -0.4575, -0.4727,  0.6189, -1.8116, -0.3150, -0.1950,  0.3409, -0.9356, -0.9542, -0.4463,  0.1697,  0.6296,  0.2269, -0.0895,  1.0609, -0.0428,  1.0131, 0.0588, -0.3912,  0.7651, -0.4231,  1.7770, -1.5104,  0.0567, -0.4049, -0.2753,  1.5272,  0.6616,  0.4360,  0.1455,  1.1200, -0.4071,  1.1968, -0.7317,  0.4827,  1.7090, -1.1481, -0.5977,  0.4533, -0.8419,  0.6997, -0.0320, -0.1119,  1.3986, -1.2419,  0.6935, -0.4232,  0.5332,  1.5131, -0.0501,  1.0830,  1.5992,  1.0242, -0.5546, -1.3393, -1.5789,  1.7291, -1.5623, -0.0447, -0.3791,  0.3893,  0.5763,  0.0571, -1.9067, -0.6246]], device='cuda:0', requires_grad=True) tensor([ 69,  75, 198]) tensor([ 69,  75, 198]) Batch prediction time: 172.5s labels_pred_cpu SHAPE (1, 1, 69, 75, 198) labels_gt_cpu SHAPE (1, 1, 69, 75, 198)",0.4981,8.1564,2.2622,0.9113,0.0491,0.0717,1,Fold_1_Test_Set_sarcopenia
['lp133_rf'],"Parameter containing: tensor([[ 0.5199, -1.7618, -0.3105,  0.7395,  0.1311, -1.7672,  0.4372, -1.6196, -2.0673,  0.5379, -0.9457, -0.5447,  0.4283,  0.5755, -1.9328,  0.4697, 0.6022, -1.1863, -0.2269,  0.0470,  0.0682, -0.1667,  0.8616, -0.8748, -0.5006,  0.6015, -0.2028, -2.2022, -1.3651, -1.1395,  0.1855,  0.0558, 0.5385, -0.5713,  0.2565, -0.7703, -0.1330, -1.4028, -0.2245, -0.4816, 0.4768, -1.4824, -0.2562, -1.0782,  1.1867, -1.5912,  0.2366,  0.9743, 0.3633, -0.1807,  0.0803,  0.4158,  0.0514, -0.7633,  0.0859,  0.3190, 0.1901, -1.4091,  0.2734, -0.7313,  0.2141,  0.6148, -0.1207,  1.2342, -0.3325,  0.4301, -1.3250,  0.3347, -0.5982, -0.5233,  0.1542, -1.5562, -1.6702, -0.7397, -0.9625, -0.3257, -0.3702,  0.8480,  0.1032,  0.8644, -2.3131,  0.3647, -0.5981,  0.6510,  0.5852, -1.6024,  1.4321, -0.6656, 0.7714,  1.0056, -0.1113,  1.1930,  1.1177, -0.3247, -0.3152,  1.1417, 0.2441, -0.5452,  0.7514, -0.9549, -0.5286,  0.8381, -1.7429,  0.5470, -0.7767, -0.0599,  1.2731, -1.3234, -0.7622, -0.3825, -0.3195, -1.1551, -0.2568,  0.2121, -0.8589,  0.5834,  0.4865, -0.5837,  1.3628,  0.2277, -0.8961, -0.0736, -0.3248, -0.0136,  0.5264,  0.2616,  1.1851, -0.2807]], device='cuda:0', requires_grad=True) tensor([ 66,  66, 220]) tensor([ 66,  66, 220]) Batch prediction time: 161.7s labels_pred_cpu SHAPE (1, 1, 66, 66, 220) labels_gt_cpu SHAPE (1, 1, 66, 66, 220)",0.3254,10.5,1.5,0.9373,0.324,0.4092,1,Fold_1_Test_Set_sarcopenia
['ma119_rf'],"Parameter containing: tensor([[-4.5019e-01,  8.4304e-02,  4.1556e-01, -5.1574e-01,  9.0867e-01, 2.9328e+00,  1.1896e+00,  1.0071e+00,  7.4402e-02,  3.3759e-01, 1.2199e+00, -4.9439e-01, -1.9089e+00, -8.1861e-01,  1.2201e+00, 2.2597e+00,  1.3313e+00, -4.9138e-01,  1.2964e+00,  4.2419e-01, 6.2589e-01, -8.1604e-01,  1.4331e+00,  3.9262e-02,  6.0585e-02, 8.3880e-01,  9.9784e-01,  7.0478e-02, -3.4817e-01,  4.6735e-01, -3.4747e-01, -2.5010e-01, -3.6636e-01, -1.2699e+00,  1.8685e-02, -2.6754e+00, -7.1655e-02, -3.8606e-01,  6.4819e-01, -1.4415e+00, -4.1376e-01, -1.0443e+00, -6.2325e-01,  4.1842e-01,  4.0312e-01, -4.2975e-01, -1.6400e+00, -1.7872e+00, -1.6119e+00,  8.1997e-01, -7.0571e-01, -1.2333e-01,  7.6938e-01, -5.6620e-02,  2.5530e-01, -1.5182e+00,  9.6775e-01, -1.8664e-02, -6.8590e-01,  3.6093e-01, 4.0889e-01, -1.5307e-01,  1.9613e-01, -4.5581e-01, -6.7950e-01, 3.9980e-01,  1.0656e-01, -9.8815e-01, -6.8804e-01, -8.8510e-01, 1.9468e-01,  2.0203e-01, -1.8632e-01,  1.0101e+00,  1.1671e+00, 7.6019e-01, -5.9359e-01,  3.3961e-01,  1.7207e-02,  7.0583e-01, -8.6892e-01,  3.2984e-01,  1.1689e+00,  2.7792e-01, -3.2183e-01, -1.2837e-03,  4.1437e-01, -1.0980e+00, -1.8550e-01, -1.4298e-01, -1.6628e+00,  1.0605e+00,  1.4120e-01,  4.3378e-01, -4.1144e-01, -7.3413e-01, -2.1697e-01, -1.0254e+00,  5.4114e-01, -1.7733e-01, -1.0719e+00,  2.6416e-01,  7.8297e-01, -1.4401e+00, -8.7714e-01, 4.6140e-01,  5.1639e-01,  3.1417e-01, -2.1064e-01,  1.5164e-01, 7.0271e-01,  1.0834e+00,  5.4125e-01,  9.1912e-01, -1.3579e+00, -9.9977e-01, -1.1218e+00,  3.6767e-01,  8.2032e-01, -5.5346e-01, -3.1619e-01, -8.0242e-01,  1.9736e-01, -1.6428e+00,  6.0879e-01, 6.1555e-01,  9.3817e-01,  8.1534e-01]], device='cuda:0', requires_grad=True) tensor([ 71,  64, 205]) tensor([ 71,  64, 205]) Batch prediction time: 157.2s labels_pred_cpu SHAPE (1, 1, 71, 64, 205) labels_gt_cpu SHAPE (1, 1, 71, 64, 205)",0.3913,5.2398,1.4004,0.9349,0.4092,0.4775,1,Fold_1_Test_Set_sarcopenia
['mm170_rf'],"Parameter containing: tensor([[-0.3889,  1.1390,  0.9704,  0.4682, -0.3113,  1.4545,  1.2916, -0.6186, 0.9653, -0.4216,  0.2212, -1.2859, -0.4017,  0.1174,  2.8531,  0.7438, 1.4793, -2.9849,  0.0481, -0.3258,  0.5684, -1.1554, -1.4222, -0.1327, 0.4747, -0.2319,  0.6414, -1.2389,  0.0504, -0.4685,  0.9497, -0.1194, -0.6546, -1.6477, -0.7240, -0.8475, -1.1224, -0.4409,  1.1642, -0.4966, -1.1441, -1.2924,  0.2723, -0.7231, -0.1326, -0.3744,  1.2088, -1.9884, -0.2884,  0.3897, -0.0517, -1.7880,  0.1574, -0.3696,  1.0726, -0.2957, -0.7473, -1.3335, -0.6011, -0.2007,  1.3838, -0.6644,  0.1793,  0.1773, -0.2009, -0.4584,  0.5311, -0.4983, -0.4880, -0.1687,  1.2515, -0.8340, -0.4949,  0.8212,  0.8000,  0.3031,  0.8537, -0.3751, -0.5973,  1.0032, 1.1897,  0.7790, -0.0372, -0.0672,  0.9307, -0.1803, -0.4158, -0.7935, -0.0347,  0.8844, -0.5364,  0.8214,  0.3829,  1.5240, -0.5245, -1.5846, 1.4441, -0.5707,  1.1314, -1.1303, -0.2961,  0.0687, -0.8203, -1.2022, -0.2535, -1.6305,  0.3685,  0.7180,  0.1643, -0.3418, -0.4004, -0.2258, 1.0202,  0.7518,  1.0220, -0.2967, -0.1237, -0.9381,  1.2899, -0.6100, -0.8680,  0.2467, -0.4238,  0.6533,  0.2559,  0.0955, -0.1342, -1.2635]], device='cuda:0', requires_grad=True) tensor([ 72,  68, 214]) tensor([ 72,  68, 214]) Batch prediction time: 176.5s labels_pred_cpu SHAPE (1, 1, 72, 68, 214) labels_gt_cpu SHAPE (1, 1, 72, 68, 214)",0.4467,5.6016,1.4004,0.9379,0.3021,0.3207,1,Fold_1_Test_Set_sarcopenia
['pg161_rf'],"Parameter containing: tensor([[ 8.5611e-02,  1.4783e+00,  1.2990e+00, -1.1331e-01, -4.6968e-01, -1.9364e+00,  1.1045e+00, -8.5540e-01, -4.1785e-01, -2.2662e-01, -5.4035e-01, -5.9346e-01,  9.6083e-01,  1.8004e-01, -1.3762e+00, 4.2686e-01, -3.0700e-01, -1.5757e+00, -1.8314e-01,  4.1929e-01, -3.1717e-01, -9.0515e-01, -1.3816e+00, -7.9532e-01, -1.5264e-01, -1.4946e+00,  3.5006e-02, -6.9680e-01,  1.4181e-02, -1.0532e+00, -3.8424e-01,  8.8211e-01, -1.0691e-01,  2.6766e-01, -2.1319e-01, 5.1861e-01, -9.0960e-01, -4.3427e-01,  1.4934e-01, -1.7983e+00, -2.0458e+00,  1.8294e-01, -8.0264e-01, -9.4317e-01,  3.8086e-02, 1.5891e+00, -1.5339e+00, -1.6651e+00, -3.0343e-01,  1.8412e-01, 4.0991e-01, -1.3394e+00, -1.1021e+00, -1.0103e+00, -4.8775e-01, -1.9217e+00,  1.3937e-01, -3.2168e-01,  9.3172e-01, -3.7314e-01, -1.5717e-02, -1.2886e-01,  8.7674e-02,  6.4073e-03, -5.3452e-01, 1.8244e-01,  7.6930e-01,  3.4697e-01,  1.0271e-01, -1.4285e+00, -1.5084e+00, -2.1870e-01, -5.8489e-01,  1.4814e+00,  9.5156e-01, -1.7668e-01,  2.8788e-01, -8.3087e-01,  1.2290e-01,  4.9710e-01, -1.2910e+00,  1.4911e-01,  2.7201e+00, -6.1282e-01, -5.5708e-01, -2.8516e-01, -1.1644e+00,  1.4235e+00, -3.7874e-01,  2.6572e-02, -1.5466e+00,  5.7101e-01, -3.6496e-01,  8.2127e-01, -1.3635e+00, 8.7669e-01,  5.6130e-01, -6.7218e-01,  5.6844e-01,  1.3019e-01, -1.0932e+00,  5.5183e-01, -6.6048e-01, -1.0058e+00, -9.5128e-01, -5.9662e-01, -1.1996e-01,  1.2535e+00,  1.3463e+00,  1.0287e+00, -1.9737e-01, -2.3443e+00,  6.2131e-01, -2.8401e-01, -1.4465e+00, 8.7450e-01, -9.2863e-01, -2.1515e-04,  8.6560e-01, -3.1360e-01, -1.1430e-01, -7.3940e-03,  1.4621e+00,  4.4637e-01,  4.2063e-02, 4.3554e-02, -4.6987e-01,  1.0858e+00]], device='cuda:0', requires_grad=True) tensor([ 78,  68, 178]) tensor([ 78,  68, 178]) Batch prediction time: 159.0s labels_pred_cpu SHAPE (1, 1, 78, 68, 178) labels_gt_cpu SHAPE (1, 1, 78, 68, 178)",0.4097,12.9035,1.5,0.9297,1.1509,1.5184,1,Fold_1_Test_Set_sarcopenia
['pp104_rf'],"Parameter containing: tensor([[-0.2308, -1.0112, -1.2169,  0.2812, -0.9764, -1.2353,  0.4817, -0.4471, 0.5864,  0.5141, -0.0915,  0.4935,  0.4492, -0.2166, -0.4030,  0.1472, -0.2958, -1.7617,  0.2953,  0.9728, -0.3877,  0.8191, -0.8771,  0.2251, -0.6842, -0.0068,  0.3022, -0.8498,  0.2490, -0.7936,  0.1149, -0.2065, -0.2720,  0.2898, -0.7927,  0.2153,  0.5324, -0.5659, -0.8168,  0.1174, 0.2111, -0.2662, -0.3287, -0.5428, -0.9819, -0.6134, -0.4406, -0.3998, 1.1270, -0.2305, -0.3628, -0.4413,  0.7526, -0.7031,  0.3373, -0.7908, 0.1368,  0.9759, -0.7888, -0.2637,  1.0166,  0.1804, -0.9009,  0.5845, -0.7087,  0.6991, -1.2850,  0.8273,  0.6194,  1.2327, -0.3067, -1.1929, 0.0182,  1.0287,  0.5345, -0.2355, -0.5130,  0.7917, -0.0425,  0.5558, -1.2601, -0.2950, -0.7265,  0.8427,  0.1294, -0.4047, -0.9452, -0.8196, -0.1360, -0.0952, -1.0193,  0.6891,  0.1517,  1.6268,  0.1323, -0.5678, -0.0040, -0.4037,  0.0495,  1.2978, -0.0053, -0.1634, -0.8426,  0.4747, -1.0889, -0.3976, -0.7844, -0.3110,  1.4996,  1.1713,  0.2113, -0.1850, -0.2522, -0.4312, -0.5002, -0.2850,  0.1093, -1.3697,  0.6237, -0.7101, -0.1723, -0.1594,  0.7921, -0.1686,  0.1436, -0.3942,  1.7284, -0.0919]], device='cuda:0', requires_grad=True) tensor([ 71,  70, 199]) tensor([ 71,  70, 199]) Batch prediction time: 166.6s labels_pred_cpu SHAPE (1, 1, 71, 70, 199) labels_gt_cpu SHAPE (1, 1, 71, 70, 199)",0.4548,17.557,1.5,0.9405,0.5265,0.591,1,Fold_1_Test_Set_sarcopenia
['qp108_rf'],"Parameter containing: tensor([[ 0.4645, -0.1582,  1.3922, -0.6180,  0.8727, -2.0572,  0.8159, -1.5918, 0.1916,  0.1966, -0.5377, -1.0504, -0.5488,  0.3154, -0.6856,  0.4713, -0.0263, -1.7955, -0.1457,  0.9659,  0.2000, -0.9054, -1.0518, -0.9971, 0.1437,  1.9699, -0.8169, -0.1566, -1.5733, -1.6906,  1.6003,  0.4896, 0.3852, -0.1727, -0.4571, -0.3708, -1.2022, -0.6453, -0.2201,  0.4213, 1.3032, -0.2248, -0.2430, -0.0915, -0.1483,  1.2482, -1.1864,  1.6522, 0.1772,  1.2062,  0.9694, -1.1262,  0.7146, -0.0764, -0.3778, -1.5631, -1.4044, -1.2380,  0.4406, -0.7361,  0.9581,  0.8136, -0.4192,  1.7356, 0.1971,  0.8199, -1.7527, -2.2055, -0.4427,  0.2680, -0.4736, -0.4954, -0.7966, -0.2678, -0.9116,  0.4486, -0.5471,  0.0902, -1.2111, -0.0393, -1.9388,  0.4653, -1.6202,  0.7140,  1.0200, -0.5444, -0.6594, -0.7355, -0.0297,  0.8185, -0.0236,  0.2727,  0.2897, -1.7012,  0.8889, -0.7162, -0.0964,  0.0079,  1.5633, -1.3647, -0.5787,  0.5910,  0.5375,  0.3852, 0.6264, -2.5515, -0.6890, -0.5833,  0.5153, -0.9411, -0.6053, -0.8925, -0.3503,  0.4286, -0.4446,  2.6072,  0.4885, -0.9930,  0.1439, -0.2215, -0.1830, -0.1235,  1.6241,  0.2779, -0.9140,  0.0515,  0.8865, -0.4340]], device='cuda:0', requires_grad=True) tensor([ 66,  61, 225]) tensor([ 66,  61, 225]) Batch prediction time: 153.0s labels_pred_cpu SHAPE (1, 1, 66, 61, 225) labels_gt_cpu SHAPE (1, 1, 66, 61, 225)",0.3521,8.7464,1.5,0.9277,0.0067,0.009,1,Fold_1_Test_Set_sarcopenia
['ra150_rf'],"Parameter containing: tensor([[ 1.3576,  1.3516,  0.3898,  0.0395,  0.9321, -0.0575,  1.0630,  0.4657, 0.0580, -0.0642,  0.7833, -1.0797,  0.1154, -0.6598, -0.9089, -1.7969, -0.3647,  0.1712,  0.6189, -0.4775, -1.5391, -0.5797, -0.5534,  0.6155, -1.2710,  1.4636,  0.1464, -0.1121, -0.5443,  0.4344,  1.2810,  0.4158, -0.6571,  0.6977, -0.3392, -0.6273,  1.5061, -0.9106, -0.4344, -2.3250, 1.2258, -0.2342,  1.1279,  0.2673,  1.2562, -0.6654,  0.2609,  0.1491, -1.0782,  0.2917, -1.5761,  0.4505,  0.2634, -0.1853, -2.1076,  0.1910, -0.0821, -1.3146, -0.0613,  1.2484,  0.8817, -0.7116, -1.0758, -0.0718, 0.2190, -0.2200, -1.2131, -0.0743,  1.2462,  1.6966,  1.6170, -0.4749, -1.0372, -0.1102, -0.0618,  1.6088, -1.4155, -1.3506,  0.0517, -0.0502, -0.6978, -2.1379, -0.3101,  0.2188,  0.3972,  1.4920, -0.9914, -0.5037, -0.4404,  0.5425,  0.9068,  1.7174,  0.0754, -1.8516,  1.3877,  1.2571, -1.7192,  1.1912,  0.3671,  0.1344, -0.3980, -1.4135, -1.8421,  1.1051, 0.1595, -1.9307,  1.6108,  0.5471,  0.5414,  0.8166,  1.2541,  0.5972, 2.3705, -0.8452,  0.8533, -1.6092, -0.0221, -1.6157, -1.2978,  0.3905, -0.3921,  0.1368,  0.1817,  1.3611,  1.4572, -1.2900, -1.0787,  0.6703]], device='cuda:0', requires_grad=True) tensor([ 69,  74, 184]) tensor([ 69,  74, 184]) Batch prediction time: 158.1s labels_pred_cpu SHAPE (1, 1, 69, 74, 184) labels_gt_cpu SHAPE (1, 1, 69, 74, 184)",0.3294,5.6915,1.7998,0.9315,0.6823,0.69,1,Fold_1_Test_Set_sarcopenia
['rj136_rf'],"Parameter containing: tensor([[-9.9187e-01,  1.9540e-01,  1.1819e-01,  2.4245e-01,  1.2926e+00, -1.2824e+00, -2.0298e-01,  7.4387e-02, -8.4398e-01, -2.3556e-01, 1.8111e-01,  1.8090e-01,  1.0291e+00, -1.2084e-01, -1.2626e+00, 1.3405e+00, -4.2464e-01, -3.6185e-01, -8.5888e-01, -2.5622e-01, -4.6300e-01,  6.0759e-02, -1.7254e+00, -1.5756e-01, -1.1139e+00, 9.3510e-01, -3.9247e-01,  4.5130e-01, -3.0930e-01, -9.7872e-01, 3.5705e-01,  1.1378e+00, -3.5941e-01, -2.0513e-01, -1.5402e+00, 7.8957e-02,  8.6886e-01, -3.7548e-01,  2.7102e-01,  3.0987e-01, 1.0238e+00, -4.4402e-02, -4.5070e-01,  4.6294e-01,  1.3250e+00, 2.8334e-01,  1.3359e+00,  3.2595e-01,  2.9822e-01, -6.7734e-02, -2.7526e-01, -2.4354e+00, -3.4566e-01, -1.2353e+00, -3.5807e-01, -6.8712e-01, -8.6649e-01, -4.9770e-01, -5.7217e-01,  1.5482e+00, 1.0625e+00, -1.7822e-01, -2.0190e-01,  2.7031e-01,  1.4167e-01, -7.4216e-01, -1.0545e-01,  6.9196e-01, -4.2393e-01,  2.8846e-01, -4.7803e-01, -1.6668e+00, -3.3004e-01,  1.2481e-01,  7.0874e-01, -1.7315e-01, -1.9387e-01,  5.2693e-01, -2.7986e-02,  4.7206e-01, -1.3214e-01, -1.2656e+00,  7.6423e-01, -1.2607e-01,  4.6706e-01, 8.2669e-02, -5.7666e-01,  8.2399e-01, -4.8620e-01, -1.8739e-01, 7.2884e-01, -7.0961e-02, -9.1208e-01, -2.2070e-03,  2.6834e-01, 7.2580e-01, -8.7849e-02, -5.2462e-01,  9.9562e-02, -2.7049e-01, -1.9855e-01,  3.8804e-01,  7.7373e-01, -4.0951e-01,  1.9510e-01, 7.2228e-01, -5.7244e-01,  4.1879e-01, -1.1233e-01, -2.4681e-01, 1.4054e-01,  9.1880e-01,  1.3949e-01,  1.9616e-02,  2.7545e-01, 1.5148e+00, -1.1544e+00, -1.4773e+00,  1.1646e-01,  5.8930e-03, -2.9813e-01,  3.5752e-01,  5.1501e-01, -2.2227e-01,  5.3247e-01, 2.3098e-01, -5.1084e-02, -1.1309e-01]], device='cuda:0', requires_grad=True) tensor([ 66,  74, 219]) tensor([ 66,  74, 219]) Batch prediction time: 180.2s labels_pred_cpu SHAPE (1, 1, 66, 74, 219) labels_gt_cpu SHAPE (1, 1, 66, 74, 219)",0.3234,12.5499,1.5,0.9395,0.7121,1.0049,1,Fold_1_Test_Set_sarcopenia
['sc146_rf'],"Parameter containing: tensor([[ 0.3951, -0.8194,  1.2277, -0.1717,  0.4731,  0.2727, -0.3752, -0.7293, -1.4191, -0.3685,  1.8206, -0.4743,  0.6329, -0.1584, -1.2737, -0.4592, -0.8136,  0.2387, -0.9754,  0.7336,  1.2459, -1.7594,  0.2182, -0.9159, 0.9285,  1.7676,  0.0931, -1.4083, -0.0305, -1.0389,  1.5227,  0.2116, 0.7569,  0.8514, -0.0143, -1.3747, -0.9203, -0.9676,  1.2782,  0.9606, -0.4438,  0.0546, -1.4000, -0.6662, -0.8103,  0.9080, -1.2733,  0.3969, -1.9562, -0.4764,  0.3813, -0.0193,  0.4655, -0.6215, -1.7284,  0.4950, 0.2634, -0.4866, -0.1185, -1.6805,  0.2891, -0.0111, -1.0045,  0.3193, -0.8539,  0.4420,  0.2132, -0.6053, -1.4528, -0.4067, -0.4009, -0.1079, -0.1982,  0.4541, -0.2106, -0.9976,  0.1442, -0.7475,  0.3278, -0.6468, 0.6255, -0.2909, -1.2539,  1.2134,  0.8226, -0.4569,  0.4256, -1.4386, -0.0216,  1.2523, -1.3351, -0.1867,  1.1192, -0.3995,  0.8463,  1.7678, 1.2613, -0.1706,  1.4957, -1.2570, -0.5626, -0.0465,  0.4333,  0.9861, -0.0166,  0.4161, -0.6980, -0.4506, -0.0272, -1.7951, -0.3074, -0.5320, 0.9452,  0.6121, -0.3372,  1.1205,  0.6621, -0.2340,  1.1739, -1.5657, -1.3621, -0.2824,  0.6399,  0.4317, -0.1792,  0.0716,  2.1438,  0.3079]], device='cuda:0', requires_grad=True) tensor([ 68,  57, 245]) tensor([ 68,  57, 245]) Batch prediction time: 160.4s labels_pred_cpu SHAPE (1, 1, 68, 57, 245) labels_gt_cpu SHAPE (1, 1, 68, 57, 245)",0.3767,12.9035,1.5,0.9421,0.486,0.4427,1,Fold_1_Test_Set_sarcopenia
['ba122_rf'],"Parameter containing: tensor([[-0.0934,  0.2856, -2.2189,  0.5825,  0.5172,  0.7648,  0.3133, -0.2951, -1.1006,  0.3426,  0.4894,  1.8288, -0.5246,  0.7497,  0.8408, -0.1477, -0.9557,  0.1641,  0.7856, -0.0887,  0.6588,  0.2948, -0.5493, -1.2907, -0.7654, -1.0857, -0.6553, -0.1674, -0.9551, -0.2280, -0.5474,  0.1471, -1.1101, -0.0933,  0.1049,  0.5815, -1.1677, -0.3370, -1.2437, -0.1161, -0.3554,  0.3535, -0.4060, -0.5925,  0.7049,  1.1353,  0.7602, -0.2638, 0.0970, -0.1498, -0.3141, -0.3727,  0.6309,  0.4237,  1.2111, -0.3442, 0.5634,  1.1417,  0.6569, -0.7842,  0.6295, -0.7023,  1.1031,  1.0244, 1.1447,  0.2581, -0.7850, -0.4280,  0.0373, -0.1164,  0.4067, -0.2732, 0.7670,  0.2129,  0.9968, -0.1922,  0.6592, -0.9962,  0.9983,  0.1333, -0.5254,  0.9349,  0.2421,  2.1324,  0.5571,  1.1111, -0.2532, -0.4037, -1.2169, -0.3926, -0.6961,  0.6514, -0.1153, -0.1684,  0.1436,  0.2492, -1.3414, -0.5686,  1.0422,  1.7759,  0.5228,  0.0044, -1.0030, -1.7133, -1.0366, -0.2200,  1.9038,  0.4986,  0.9097,  1.9705,  1.2263,  0.4814, 0.6524,  0.2363,  0.0458,  0.1544,  0.3539, -1.6134,  0.7110,  0.0737, 0.3991, -0.8011,  0.0266, -0.7867, -0.6875, -0.4018,  0.3745,  0.1836]], device='cuda:0', requires_grad=True) tensor([ 69,  68, 202]) tensor([ 69,  68, 202]) Batch prediction time: 160.0s labels_pred_cpu SHAPE (1, 1, 69, 68, 202) labels_gt_cpu SHAPE (1, 1, 69, 68, 202)",0.3106,5.0584,1.5996,0.948,0.4503,0.4532,2,Fold_2_Test_Set_healthy
['bp149_rf'],"Parameter containing: tensor([[-0.0082, -0.6088,  0.9216,  0.1867, -1.3197,  1.0177,  0.2218, -1.0808, 0.5525, -0.0080,  0.6007, -0.6275,  1.0420, -0.7130, -0.1075,  1.5262, -1.4408, -0.0708, -0.0705,  0.9704, -0.4311,  0.0518, -0.1212, -0.4665, -0.6438,  0.8819,  0.5703, -0.9288,  0.4432,  0.5036,  0.6577,  0.3078, -1.2884,  0.3359,  1.5342, -0.5889, -0.3937, -0.3698, -0.0803,  0.1518, -0.2412,  0.9699,  0.6086, -2.1193, -0.2260,  0.3011,  0.0746,  1.0021, -0.4209, -0.4597,  0.1313, -1.2544,  0.6623, -0.9612,  0.6288, -0.1332, 0.6777,  0.2690, -1.2901, -0.6557,  0.4149,  0.9288,  0.0106, -0.6374, 0.4569, -0.9594, -0.4239,  1.2576,  0.5963,  0.4834,  1.0813,  1.9424, 0.9073,  1.5352,  1.0488, -0.5114,  0.7780, -0.4291, -0.1783,  0.4105, -0.5179,  0.3997,  0.6245,  0.3370, -0.3375,  0.3456,  0.1506,  0.1180, 0.7567, -0.9557, -0.1729, -0.0915, -0.2867, -0.4431,  0.7198, -0.2770, -0.2958, -0.1720,  0.9599, -1.1424,  2.8925, -1.0063,  0.9001,  0.7792, 0.3395,  0.3966,  0.7539, -0.1777,  0.1471,  0.3011,  0.5543, -0.0817, -1.2838,  1.1312,  0.4324, -0.6298,  1.6820, -1.1231, -0.7780, -0.3066, -2.1517, -1.0260, -0.8146, -0.6542, -0.4764,  0.0932, -0.8353, -0.7674]], device='cuda:0', requires_grad=True) tensor([ 68,  55, 244]) tensor([ 68,  55, 244]) Batch prediction time: 154.0s labels_pred_cpu SHAPE (1, 1, 68, 55, 244) labels_gt_cpu SHAPE (1, 1, 68, 55, 244)",0.4182,10.3419,1.7002,0.9394,1.1008,0.7844,2,Fold_2_Test_Set_healthy
['cs102_rf'],"Parameter containing: tensor([[ 0.2009,  0.1173, -0.9951, -0.1163, -0.3877,  0.4876,  0.7783, -0.7882, 0.4143, -1.4462, -0.8298, -0.5436, -0.3384, -0.1070, -0.3804, -1.3987, 0.1608, -0.4852,  0.6034, -1.2433,  1.1510, -1.9064, -0.9274, -0.2712, -1.4710,  0.0513,  1.4366, -1.5580,  0.5524,  0.4041,  0.6832,  1.0409, 0.5057, -0.1235, -0.3570,  0.1068,  1.2689, -1.1223, -1.2874, -0.1382, -0.7019, -0.9797, -0.7936, -1.7519, -0.3913, -0.0065, -0.3494,  0.3385, 0.2562,  0.9334, -0.1007, -0.0501, -2.4370,  0.0353, -0.2405,  0.0038, -0.1959,  1.5786, -0.3282, -0.1003, -0.2421,  1.4780, -0.5294,  0.8728, 0.3176,  0.1648, -1.0232,  0.0710,  0.3618,  0.4923, -2.3296,  1.4391, -0.7902, -0.2310,  0.6504, -1.1729,  0.8265,  0.4105, -1.2051,  0.3270, -0.8974, -0.4860,  1.5455,  0.8401, -1.6310,  0.5291, -0.4793,  0.5995, -0.4186, -0.0148, -0.6297,  1.2944, -0.1835, -0.3509, -0.0768, -1.4879, -0.3019, -0.3886,  0.0575,  1.5101, -0.0917, -0.7811,  0.2343, -1.4430, -0.1805, -0.3777,  0.0362, -0.2677, -0.8243,  1.2079,  0.1045,  0.9636, -0.2739,  1.3489, -0.1669,  0.8448, -0.3701, -0.8225,  0.0325, -0.0027, 0.7409, -1.6181,  0.8626, -0.2515, -0.0713, -0.2134, -0.8569, -0.1778]], device='cuda:0', requires_grad=True) tensor([ 78,  57, 207]) tensor([ 78,  57, 207]) Batch prediction time: 154.9s labels_pred_cpu SHAPE (1, 1, 78, 57, 207) labels_gt_cpu SHAPE (1, 1, 78, 57, 207)",0.2834,4.5244,1.5996,0.9443,0.4176,0.4631,2,Fold_2_Test_Set_healthy
